,make,model,price,fuel,year,kms,power,doors,shift,color,photos,is_professional,province
1,11,153,6200,4,2017.0,50071,82.0,5,1,881,6,True,42
2,22,767,7851,0,2016.0,103000,100.0,4,1,881,10,True,7
3,69,199,19426,0,2014.0,120000,140.0,4,1,881,9,True,33
4,22,766,22850,0,2017.0,107000,130.0,2,1,881,4,True,39
5,51,33,11490,4,2016.0,78665,130.0,5,1,881,32,True,29
6,36,293,28500,0,2017.0,36238,150.0,5,0,881,47,True,6
7,24,212,8200,0,2012.0,203000,150.0,5,1,881,15,False,7
8,11,139,12100,4,2018.0,45000,110.0,5,1,295,6,False,2
9,49,531,6300,4,2016.0,77000,80.0,5,1,881,6,False,7
10,11,139,13900,0,2017.0,81000,100.0,5,1,1577,21,True,31
12,69,577,1300,4,2001.0,217000,75.0,3,1,295,1,False,7
13,44,216,6900,4,2001.0,169450,306.0,2,0,1577,13,True,32
14,21,561,9500,0,2017.0,101623,95.0,5,1,89,22,True,29
15,60,549,13990,4,2019.0,7591,115.0,5,1,1577,10,True,29
17,11,149,4990,4,2014.0,80000,115.0,4,1,1577,9,True,25
20,21,294,8000,0,2010.0,135000,120.0,5,1,1540,9,False,33
21,22,151,12700,4,2018.0,53000,125.0,5,1,1577,14,True,2
22,11,155,12490,4,2019.0,13000,68.0,5,1,2592,7,True,18
24,7,687,28900,0,2020.0,5000,116.0,5,0,1678,4,True,7
25,50,121,8490,0,2014.0,139990,130.0,5,1,1577,33,True,29
26,4,88,5000,0,2006.0,222500,140.0,5,1,1577,6,False,7
27,70,819,10890,0,2009.0,214650,175.0,5,0,881,36,True,7
28,47,98,15300,0,2016.0,67602,114.0,5,1,1577,12,True,29
29,22,341,12790,4,2018.0,29000,125.0,5,1,1577,0,True,29
30,21,61,12800,0,2016.0,60029,120.0,5,1,3062,14,True,32
31,7,691,10000,0,2009.0,162000,177.0,2,0,881,25,True,29
32,22,647,29300,0,2019.0,11936,150.0,5,0,2592,30,True,28
33,55,198,14650,4,2019.0,14000,90.0,5,1,881,10,True,29
34,59,417,11400,4,2017.0,28000,110.0,5,0,2592,6,False,7
36,7,693,18900,0,2014.0,99800,190.0,4,0,295,29,True,4
37,51,65,37000,6,2020.0,1200,225.0,5,0,1107,22,True,36
38,51,40,6750,0,2015.0,215000,120.0,5,0,2592,9,True,16
39,33,822,32300,6,2021.0,2800,141.0,5,1,1464,6,True,31
40,50,423,9500,0,2016.0,101859,120.0,5,1,1288,21,True,29
41,69,377,11300,0,2016.0,77867,110.0,5,1,3488,26,True,7
42,55,239,9500,4,2018.0,43543,75.0,5,1,1577,22,True,7
43,51,1,4200,4,2007.0,118000,110.0,3,1,2592,13,True,6
44,51,643,26995,0,2021.0,1,130.0,5,1,1786,19,True,49
45,69,379,14900,0,2016.0,155000,115.0,5,1,1577,9,True,26
46,50,271,19150,4,2019.0,13871,81.0,5,1,1577,25,True,0
47,59,475,10500,0,2016.0,127000,110.0,5,1,881,27,True,9
49,59,475,26400,0,2020.0,50,150.0,5,0,2592,14,True,44
50,49,531,7900,4,2015.0,54200,80.0,5,1,881,2,False,36
52,44,214,13500,0,2014.0,104000,109.0,5,0,881,42,True,2
53,44,221,23900,0,2016.0,150276,194.0,4,0,2592,44,True,47
55,14,299,8399,4,2014.0,88056,125.0,5,1,881,24,True,39
56,55,530,10499,0,2017.0,47396,90.0,5,1,113,10,True,39
57,69,172,17890,0,2015.0,90000,140.0,4,0,881,19,True,8
59,44,237,44097,0,2019.0,24429,163.0,4,0,2872,27,True,29
60,55,239,10000,4,2008.0,180000,200.0,3,1,295,12,False,8
61,70,819,18990,0,2016.0,93000,150.0,5,1,881,19,True,47
62,14,299,8500,0,2014.0,202100,109.0,5,1,881,28,True,29
63,4,89,11900,0,2014.0,165999,120.0,5,1,2444,21,True,32
64,51,59,11900,0,2015.0,86686,120.0,5,1,2429,30,True,39
66,55,239,16190,4,2020.0,3239,100.0,5,1,2490,17,True,29
68,44,354,49900,0,2019.0,200,170.0,5,0,2105,31,True,5
69,7,813,25400,0,2017.0,36000,190.0,5,1,1577,24,True,27
70,50,258,13100,4,2019.0,4553,100.0,5,1,1519,30,True,7
71,69,377,17990,0,2013.0,159000,184.0,5,0,1788,27,True,29
72,26,868,8400,4,2012.0,107000,135.0,4,1,1577,14,True,50
73,7,866,15500,1,2016.0,49000,170.0,5,0,1375,28,True,29
74,22,335,9450,4,2018.0,37000,85.0,5,1,2131,33,True,45
75,51,51,800,4,1998.0,120000,135.0,4,1,3062,13,False,44
76,22,647,5500,0,2009.0,202000,140.0,5,1,1577,13,True,32
77,7,687,8499,0,2013.0,259000,116.0,5,1,881,12,True,29
78,7,688,48200,4,2017.0,8000,370.0,2,0,295,6,False,29
79,49,425,10990,0,2015.0,102100,110.0,5,1,1577,33,True,45
81,32,640,16200,4,2018.0,45168,120.0,5,1,3081,28,True,45
83,69,565,3400,0,2006.0,272000,140.0,4,1,1577,9,True,29
86,64,733,21200,4,2020.0,10,129.0,5,1,3273,12,True,24
87,50,116,7000,4,2009.0,119000,140.0,5,1,2592,5,False,6
88,21,295,4550,3,2013.0,114000,120.0,3,1,881,35,False,29
90,44,173,44600,0,2021.0,0,150.0,4,1,450,0,True,39
91,7,693,37200,0,2019.0,35760,190.0,4,0,243,4,True,29
92,55,530,5500,0,2012.0,300000,110.0,5,1,881,10,True,2
94,7,687,7480,0,2007.0,90000,177.0,3,1,823,9,True,7
95,11,160,12900,0,2018.0,52700,99.0,5,1,881,20,True,17
96,32,386,8999,0,2005.0,199000,218.0,5,0,295,30,True,29
97,59,118,19900,0,2019.0,17788,115.0,5,1,1383,22,True,16
98,59,417,4500,0,2007.0,86000,80.0,3,1,3062,14,True,4
99,36,293,60190,0,2019.0,0,150.0,5,0,881,10,True,2
100,44,354,89250,4,2021.0,1,390.0,5,0,742,29,True,45
102,32,640,20300,4,2020.0,1,120.0,5,1,2592,20,True,29
103,9,272,8500,4,2013.0,120000,124.0,5,1,1577,7,False,39
104,62,645,16490,0,2017.0,79900,178.0,5,1,2592,30,True,29
105,4,92,2000,0,2002.0,325000,130.0,5,1,2592,0,False,5
106,50,121,3500,4,2006.0,229193,170.0,3,1,3062,19,True,44
107,55,447,31600,0,2020.0,1,150.0,5,0,1345,12,True,29
108,0,58,16875,4,2019.0,12000,145.0,3,1,3197,22,True,7
109,44,213,32000,0,2020.0,20100,116.0,4,0,2772,13,True,29
110,50,802,20900,0,2018.0,61823,125.0,4,1,2444,16,True,2
111,69,377,10490,4,2006.0,148252,200.0,5,0,3062,36,True,39
112,7,693,16000,0,2011.0,91000,184.0,4,0,2592,9,False,23
113,11,155,17000,0,2020.0,5,102.0,5,1,1577,15,True,15
114,4,597,32900,0,2018.0,11700,150.0,5,0,3491,19,True,2
115,4,737,19500,0,2014.0,210000,184.0,3,1,881,12,True,2
116,7,811,22900,0,2017.0,70000,150.0,5,0,881,54,True,12
117,61,861,14500,1,2019.0,2000,82.0,3,0,3062,21,True,29
118,69,677,19500,0,2015.0,58000,150.0,3,1,881,6,False,18
120,31,700,6490,4,2005.0,260556,298.0,4,0,3421,23,True,29
122,69,752,17300,0,2014.0,91473,140.0,5,0,1593,37,True,33
123,44,230,14500,0,2007.0,175000,224.0,5,0,1577,12,False,2
124,4,88,7490,0,2012.0,220000,105.0,5,1,881,16,True,29
125,44,217,30000,0,2018.0,14000,136.0,5,1,295,11,False,29
126,50,121,21400,4,2019.0,1,145.0,5,1,295,6,True,7
128,44,219,4999,4,2002.0,160000,170.0,2,0,1577,1,True,2
130,50,843,5850,0,2008.0,159000,120.0,5,1,1577,9,True,51
131,4,88,17350,0,2016.0,57054,110.0,5,1,1294,21,True,41
132,55,514,3500,0,2007.0,140000,70.0,5,1,881,8,False,29
133,50,244,9900,0,2016.0,58000,120.0,5,0,881,10,True,17
134,50,423,8300,0,2016.0,173707,136.0,5,1,295,18,True,49
135,51,15,16800,0,2018.0,29000,120.0,5,1,1214,13,True,34
136,55,530,2800,0,2006.0,134000,130.0,5,1,1577,5,False,15
137,59,475,7900,0,2016.0,156980,115.0,5,1,881,20,True,4
138,14,299,8990,0,2014.0,119500,109.0,5,1,881,29,True,32
139,69,770,16999,0,2011.0,146000,102.0,4,1,271,8,True,15
140,51,40,10710,0,2016.0,87100,120.0,5,1,2333,15,True,49
143,51,65,35375,6,2020.0,1,225.0,5,0,1577,12,True,44
144,67,835,10900,4,2020.0,12750,69.0,5,1,881,20,True,7
146,33,644,7500,4,2015.0,100000,84.0,5,1,881,6,False,29
147,69,577,14900,4,2019.0,19420,95.0,5,1,135,10,True,17
149,51,59,33835,0,2021.0,1,130.0,5,1,1577,31,True,45
150,50,121,9750,4,2016.0,85000,125.0,5,1,881,8,False,33
151,4,596,21490,4,2017.0,79999,150.0,5,1,881,31,True,45
153,24,101,7650,0,2010.0,185700,150.0,5,1,1997,46,True,29
154,33,848,10900,0,2016.0,54327,90.0,5,1,1577,7,True,16
155,21,594,2700,0,2013.0,240000,95.0,5,1,823,4,False,7
156,21,755,12450,0,2018.0,41844,120.0,5,1,2444,48,True,45
158,7,687,8800,0,2009.0,219000,177.0,2,1,2592,9,False,45
159,69,577,5500,0,2009.0,107000,70.0,5,1,2592,12,True,31
160,69,759,16900,0,2017.0,88905,115.0,5,0,1850,30,True,31
