,make,price,fuel,year,kms,power,doors,shift,color,photos,is_professional,province
1,CITROEN,6200,Gasolina,2017.0,50071,82.0,5,Manual,Blanco,6,True,Tenerife
2,FORD,7851,Diésel,2016.0,103000,100.0,4,Manual,Blanco,10,True,Barcelona
3,VOLKSWAGEN,19426,Diésel,2014.0,120000,140.0,4,Manual,Blanco,9,True,Navarra
4,FORD,22850,Diésel,2017.0,107000,130.0,2,Manual,Blanco,4,True,Sevilla
5,PEUGEOT,11490,Gasolina,2016.0,78665,130.0,5,Manual,Blanco,32,True,Madrid
6,LAND-ROVER,28500,Diésel,2017.0,36238,150.0,5,Automático,Blanco,47,True,Baleares
7,HONDA,8200,Diésel,2012.0,203000,150.0,5,Manual,Blanco,15,False,Barcelona
8,CITROEN,12100,Gasolina,2018.0,45000,110.0,5,Manual,Azul,6,False,Alicante
9,NISSAN,6300,Gasolina,2016.0,77000,80.0,5,Manual,Blanco,6,False,Barcelona
10,CITROEN,13900,Diésel,2017.0,81000,100.0,5,Manual,Gris / Plata,21,True,Murcia
12,VOLKSWAGEN,1300,Gasolina,2001.0,217000,75.0,3,Manual,Azul,1,False,Barcelona
13,MERCEDES-BENZ,6900,Gasolina,2001.0,169450,306.0,2,Automático,Gris / Plata,13,True,Málaga
14,FIAT,9500,Diésel,2017.0,101623,95.0,5,Manual,296 Blanco Gelato (pastel),22,True,Madrid
15,SKODA,13990,Gasolina,2019.0,7591,115.0,5,Manual,Gris / Plata,10,True,Madrid
17,CITROEN,4990,Gasolina,2014.0,80000,115.0,4,Manual,Gris / Plata,9,True,Las Palmas
20,FIAT,8000,Diésel,2010.0,135000,120.0,5,Manual,Granate,9,False,Navarra
21,FORD,12700,Gasolina,2018.0,53000,125.0,5,Manual,Gris / Plata,14,True,Alicante
22,CITROEN,12490,Gasolina,2019.0,13000,68.0,5,Manual,Negro,7,True,Granada
24,BMW,28900,Diésel,2020.0,5000,116.0,5,Automático,Gris / Plata (B39 Pintura metalizada Mineralgrau),4,True,Barcelona
25,OPEL,8490,Diésel,2014.0,139990,130.0,5,Manual,Gris / Plata,33,True,Madrid
26,AUDI,5000,Diésel,2006.0,222500,140.0,5,Manual,Gris / Plata,6,False,Barcelona
27,VOLVO,10890,Diésel,2009.0,214650,175.0,5,Automático,Blanco,36,True,Barcelona
28,MITSUBISHI,15300,Diésel,2016.0,67602,114.0,5,Manual,Gris / Plata,12,True,Madrid
29,FORD,12790,Gasolina,2018.0,29000,125.0,5,Manual,Gris / Plata,0,True,Madrid
30,FIAT,12800,Diésel,2016.0,60029,120.0,5,Manual,Rojo,14,True,Málaga
31,BMW,10000,Diésel,2009.0,162000,177.0,2,Automático,Blanco,25,True,Madrid
32,FORD,29300,Diésel,2019.0,11936,150.0,5,Automático,Negro,30,True,Lugo
33,RENAULT,14650,Gasolina,2019.0,14000,90.0,5,Manual,Blanco,10,True,Madrid
34,SEAT,11400,Gasolina,2017.0,28000,110.0,5,Automático,Negro,6,False,Barcelona
36,BMW,18900,Diésel,2014.0,99800,190.0,4,Automático,Azul,29,True,Asturias
37,PEUGEOT,37000,Híbrido enchufable,2020.0,1200,225.0,5,Automático,Blanco (Blanco nacarado),22,True,Pontevedra
38,PEUGEOT,6750,Diésel,2015.0,215000,120.0,5,Automático,Negro,9,True,Córdoba
39,KIA,32300,Híbrido enchufable,2021.0,2800,141.0,5,Manual,Cassa White (WD),6,True,Murcia
40,OPEL,9500,Diésel,2016.0,101859,120.0,5,Manual,Blanco (Sensor Parking),21,True,Madrid
41,VOLKSWAGEN,11300,Diésel,2016.0,77867,110.0,5,Manual,Z2Z2 Azul Noche (metalizado),26,True,Barcelona
42,RENAULT,9500,Gasolina,2018.0,43543,75.0,5,Manual,Gris / Plata,22,True,Barcelona
43,PEUGEOT,4200,Gasolina,2007.0,118000,110.0,3,Manual,Negro,13,True,Baleares
44,PEUGEOT,26995,Diésel,2021.0,1,130.0,5,Manual,Gris / Plata (GRIS ARTENSE),19,True,Zaragoza
45,VOLKSWAGEN,14900,Diésel,2016.0,155000,115.0,5,Manual,Gris / Plata,9,True,León
46,OPEL,19150,Gasolina,2019.0,13871,81.0,5,Manual,Gris / Plata,25,True,A Coruña
47,SEAT,10500,Diésel,2016.0,127000,110.0,5,Manual,Blanco,27,True,Cantabria
49,SEAT,26400,Diésel,2020.0,50,150.0,5,Automático,Negro,14,True,Toledo
50,NISSAN,7900,Gasolina,2015.0,54200,80.0,5,Manual,Blanco,2,False,Pontevedra
52,MERCEDES-BENZ,13500,Diésel,2014.0,104000,109.0,5,Automático,Blanco,42,True,Alicante
53,MERCEDES-BENZ,23900,Diésel,2016.0,150276,194.0,4,Automático,Negro,44,True,Vizcaya
55,DACIA,8399,Gasolina,2014.0,88056,125.0,5,Manual,Blanco,24,True,Sevilla
56,RENAULT,10499,Diésel,2017.0,47396,90.0,5,Manual,369 Blanco Glaciar (opaco),10,True,Sevilla
57,VOLKSWAGEN,17890,Diésel,2015.0,90000,140.0,4,Automático,Blanco,19,True,Burgos
59,MERCEDES-BENZ,44097,Diésel,2019.0,24429,163.0,4,Automático,Negro (Obsidiana),27,True,Madrid
60,RENAULT,10000,Gasolina,2008.0,180000,200.0,3,Manual,Azul,12,False,Burgos
61,VOLVO,18990,Diésel,2016.0,93000,150.0,5,Manual,Blanco,19,True,Vizcaya
62,DACIA,8500,Diésel,2014.0,202100,109.0,5,Manual,Blanco,28,True,Madrid
63,AUDI,11900,Diésel,2014.0,165999,120.0,5,Manual,Marrón,21,True,Málaga
64,PEUGEOT,11900,Diésel,2015.0,86686,120.0,5,Manual,M0VG Gris vapor (metalizado),30,True,Sevilla
66,RENAULT,16190,Gasolina,2020.0,3239,100.0,5,Manual,Marrón (MARRON VISON),17,True,Madrid
68,MERCEDES-BENZ,49900,Diésel,2019.0,200,170.0,5,Automático,Gris / Plata (PLATA IRIDIO),31,True,Badajoz
69,BMW,25400,Diésel,2017.0,36000,190.0,5,Manual,Gris / Plata,24,True,Lleida
